Name,Manufacturer,Availability,Quantity,Price,Images_link
2baconil - 14mg Nicotine Patch For Quit Smoking/tobacco - Step 2,2BACONIL,TRUE,20,665,['https://cdn01.pharmeasy.in/dam/products_otc/260425/2baconil-14mg-nicotine-patch-for-quit-smoking-tobacco-step-2-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
2baconil - 21mg Nicotine Patch For Quit Smoking/tobacco - Step 1,2BACONIL,TRUE,20,840,['https://cdn01.pharmeasy.in/dam/products_otc/260426/2baconil-21mg-nicotine-patch-for-quit-smoking-tobacco-step-1-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
2baconil - 7mg Nicotine Patch For Quit Smoking/tobacco - Step 3,2BACONIL,TRUE,20,595,['https://cdn01.pharmeasy.in/dam/products_otc/260424/2baconil-7mg-nicotine-patch-for-quit-smoking-tobacco-step-3-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Abzorb Anit Fungal Powder - 100 Gm,ABZORB,TRUE,20,125,['https://cdn01.pharmeasy.in/dam/products_otc/000591/abzorb-anit-fungal-powder-100-gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Acnelak 4 In 1 Face Wash 100ml,ACNELAK,TRUE,20,250,['https://cdn01.pharmeasy.in/dam/products_otc/334467/acnelak-4-in-1-face-wash-100ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Acteen Face Wash 70gm,ACTEEN,TRUE,20,198,['https://cdn01.pharmeasy.in/dam/products_otc/245855/acteen-face-wash-70gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Amrutanjan Comfy Snug Fit - 6 Pads,Amrutanjan,TRUE,20,22,['https://cdn01.pharmeasy.in/dam/products_otc/X24293/amrutanjan-comfy-snug-fit-6-pads-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Amrutanjan Comfy Ultra Xl - 6 Pads,Amrutanjan,TRUE,20,39,['https://cdn01.pharmeasy.in/dam/products_otc/U60635/amrutanjan-comfy-ultra-xl-6-pads-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Amrutanjan Relief Cough & Cold Rub - 30g,Amrutanjan,TRUE,20,50,['https://cdn01.pharmeasy.in/dam/products_otc/S16409/amrutanjan-relief-cough-cold-rub-30g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Amrutanjan Relief Nasal Inhaler - 0.75g,Amrutanjan,TRUE,20,45,['https://cdn01.pharmeasy.in/dam/products_otc/I41299/amrutanjan-relief-nasal-inhaler-075g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
